Main_accounts,Subaccounts,Charging_ID
025a4c8a-a905-4f38-a304-46166fa8e102,7f8c5923-131d-45ab-9584-298e73e904b1,10000637
07afcc64-becd-4eb4-b53a-81487839cf61,2e5a3c89-1d19-4f55-8841-4cc04393fb44,10003387
0c3a9dd0-e289-4ae9-89e3-6ab67fb2fffb,5b2e470e-59ff-4adf-a999-51a2a310d696,10001681
c46458b8-a01c-4031-a2cd-1ff6cea58442,d2d99474-3352-494e-87e1-f79d9696f5f6,10002920
13b12bb4-1d57-4c21-9748-3e2a6632fc89,e177b7ae-8553-4171-ab0f-b6aafac2fb10,10003356
140ff550-bae4-4227-b0b5-164c54b4e54f,3a5fbc8d-0db9-43d3-a3f6-532421c7733f,20003667
18ff0106-89f4-4827-bcc2-2a065c94fb2d,b48c1054-d91c-4890-adf7-505b134958e2,20003330
1a825d8a-ea75-4245-b896-b98d046894cd,5ec6aee4-be63-425d-8443-e7423c9b06cd,10003267
1b657dc6-83ce-4999-bedf-e8d5cc5a6ee6,b94db910-01f7-456e-b01d-2d81bf050ff5,10000552
1d0ef380-11d7-4f73-b0da-1569a738fe06,6ece721c-1e59-40ae-a358-94ec06ee4fbc,20001698
1fc4d1a0-6106-4c26-8067-3769ba1503cc,582cf77c-24ac-4163-b1d6-7036a99ed057,10001465
23936cda-bf56-4813-84f7-481c4feb6649,1deb7110-10a3-4318-a36a-19e48dd6a236,10000867
293ea4c0-d11d-44ee-8b27-c7e18f9e6e5a,ba9f2385-34b7-4f87-bc36-a85c0318856d,10000130
293ea4c0-d11d-44ee-8b27-c7e18f9e6e5a,2c73379c-fda8-4f09-9219-e2f93be0bede,10000130
293ea4c0-d11d-44ee-8b27-c7e18f9e6e5a,2df35d27-a032-49f4-b97e-6dd881699fe7,10000130
293ea4c0-d11d-44ee-8b27-c7e18f9e6e5a,7d5bb2e1-6aaf-47a4-8ab7-a42e2aeeed41,10000130
2dde76c9-10f4-4706-8361-3d28f8214973,747d67c8-ea13-4bb0-a20a-8fbe89ccccf3,20003707
4e974b74-7153-496f-8fa3-44d8d892406a,52a646a5-3869-4aaa-a60e-7b28b777ff79,10006175
